Type,BuildTime,QueryTime,TotalTime,Fraction,Parameters
Brute-Force-Jaccard,0.000000,273.120745,273.120745,1.000000,-
LSH-Jaccard,89.573708,49.804586,139.378294,0.095036,"Perm=16, tau=0.6"
LSH-Jaccard,90.016821,341.598937,431.615758,0.508537,"Perm=16, tau=0.3"
LSH-Jaccard,97.593411,42.470373,140.063784,0.028991,"Perm=32, tau=0.9"
LSH-Jaccard,99.064074,49.763636,148.827710,0.080425,"Perm=32, tau=0.6"
LSH-Jaccard,101.299761,409.977200,511.276961,0.605573,"Perm=32, tau=0.3"
LSH-Jaccard,115.484792,50.327760,165.812553,0.027598,"Perm=64, tau=0.9"
LSH-Jaccard,117.618569,54.944990,172.563559,0.076672,"Perm=64, tau=0.6"
LSH-Jaccard,119.598398,120.127864,239.726262,0.412012,"Perm=64, tau=0.3"
